customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,City,SignupDate,Churn
CUST-1621,Female,0,yes,N,57.0,No,No,Fiber optic,month-to-month,no,Mailed check,108.7,5953.2,bengaluru,22-05-2021,No
CUST-2087,FEMALE,0,No,Yes,71.0,Yes,No,No,,YES, Electronic check,62.26,4316.57,Delhi,07-12-2023,No
CUST-1172,Male,1,No,No,23.0,No,No,DSL,Two year,No,Mailed check,88.92,2026.92,Bengaluru,09-12-2018,1
CUST-1473,Male,1,No,N,24.0,Yes,Yes,Fiber optic,Month-to-month,No,,17.31,407.02,Chennai,31-07-2020,NO
CUST-1189,Male,0,Yes,No,19.0,Yes,No phone service,DSL,Month-to-month,No,Bank transfer,87.08,1647.09,Mumbai,12-01-2019,NO
CUST-1455,Male,0,,No,24.0,yes,Yes,,Two year,Yes,,48.89,1184.85,Bengaluru,25-06-2020,No
CUST-1125,Female,1,,No,23.0,No,No phone service,Fiber optic,One year,No,Electronic check,103.75,2319.11,Chennai,07-09-2018,No
CUST-2034,Female,0,Yes,N,8.0,no,No,Fiber optic,Two year,Yes,Mailed check,29.37,236.03,MUMBAI,23-08-2023,Yes
CUST-1656, Male,0,yes,,4.0,No,Yes,DSL,Month-to-month,No,Credit card,66.58,296.57,Hyderabad,31-07-2021,No
CUST-1999,Female,0,,Y,57.0,Yes,No phone service,,Month-to-month,Yes,Bank transfer,59.8,3557.68,,14-06-2023,Yes
CUST-1140,Female,1,Yes,No,6.0,Yes,No,,Two year,No,Electronic check,81.23,458.26,Delhi,06-10-2018,Yes
CUST-1525,Female,0,yes,No,33.0,No,Yes,fiber optic,,No, Electronic check,105.64,3568.59,Hyderabad,12-11-2020,Yes
CUST-1164,Female,0,yes,N,63.0,No,No phone service,DSL,,no,Credit card,75.37,4930.72,Bengaluru,23-11-2018,yes
CUST-1641,FEMALE,0,No,Yes,32.0,No,Yes,DSL,,Yes,Electronic check,69.36,2192.73,Delhi,01-07-2021,No
CUST-2011,male,0,yes,N,41.0,yes,No,DSL,,Yes,,90.24,3377.85,bengaluru,08-07-2023,No
CUST-1747,Female,0,NO,No,32.0,yes,,DSL,month-to-month,YES,Credit card,96.48,3132.12,Delhi,28-01-2022,No
CUST-1551,Male,0,yes,No,10.0,No,No phone service,Fiber optic,Two year,Yes,Mailed check,56.29,596.37,Mumbai,02-01-2021,No
CUST-1377,Female,nan,NO,No,46.0,no,Yes,Fiber optic,,Yes,Electronic check,42.68,2094.84,,22-01-2020,Yes
CUST-1862,FEMALE,0,Yes,N,7.0,Yes,No phone service,Fiber optic,Month-to-month,Yes,Mailed check,15.0,105.45,Delhi,14-09-2022,No
CUST-1453,Male,1,yes,N,62.0,Yes,No phone service,Fiber optic,Two year,no, Electronic check,94.54,6236.07,Hyderabad,21-06-2020,No
CUST-1971,Male,1,yes,No,61.0,Yes,Yes,DSL,,No,Electronic check,116.75,6742.23,Bengaluru,19-04-2023,No
CUST-1562, Male,0,Yes,Y,68.0,No,,Fiber optic,Two year,No,Mailed check,59.45,3969.69,Delhi,24-01-2021,Yes
CUST-1053,male,0,No,No,13.0,No,No,dsl,Two year,Yes,,38.84,501.25,Hyderabad,16-04-2018,No
CUST-1108,Male,0,No,No,24.0,no,Yes,No,Month-to-month,Yes,Credit card,40.33,1050.85,Bengaluru,04-08-2018,Yes
CUST-1522,Male,1,No,No,59.0,No,Yes,Fiber optic,,Yes,Mailed check,69.38,4331.21,Bengaluru,06-11-2020,No
CUST-1776,male,0,yes,No,25.0,No,Yes,No,One year,Yes,Bank transfer,75.88,1750.13,Chennai,27-03-2022,No
CUST-1046,Female,0,Yes,N,17.0,Yes,No phone service,DSL,Month-to-month,No,Mailed check,23.66,392.85,Bengaluru,02-04-2018,No
CUST-1950,Female,nan,Yes,No,21.0,Yes,Yes,Fiber optic,Month-to-month,No,Mailed check,93.4,2082.34,,09-03-2023,Yes
CUST-1498,Female,1,No,No,61.0,yes,No,DSL,Two year,Yes,Credit card,37.37,2164.25,MUMBAI,19-09-2020,0
CUST-1488,male,0,Yes,No,25.0,No,No,Fiber optic,Two year,Yes,Bank transfer,70.89,1834.21,Hyderabad,30-08-2020,No
CUST-1431,FEMALE,0,No,,20.0,no,No,No,Month-to-month,Yes,Bank transfer,33.81,718.15,,08-05-2020,NO
CUST-1796,Male,0,yes,No,49.0,No,No,,Month-to-month,Yes,Bank transfer,72.95,3305.41,Mumbai,06-05-2022,No
CUST-2095,Female,1,,No,57.0,Yes,No,No,One year,Yes,Credit card,63.27,3887.42,Delhi,23-12-2023,No
CUST-1224,Female,0,,No,62.0,No,Yes,fiber optic,Month-to-month,no,Credit card,101.94,6098.76,Mumbai,23-03-2019,No
CUST-1732,Male,0,No,No,39.0,Yes,Yes,,Two year,No,Bank transfer,29.27,1204.36,,29-12-2021,Yes
CUST-1544,Male,0,No,,72.0,Yes,No,No,Month-to-month,Yes,Mailed check,69.48,5106.25,Bengaluru,20-12-2020,No
CUST-1262,Female,0,Yes,,46.0,Yes,No,Fiber optic,Two year,Yes,Mailed check,39.41,1879.57,Mumbai,07-06-2019,No
CUST-1141,Female,0,Yes,Yes,66.0,Yes,No,Fiber optic,Month-to-month,Yes,Electronic check,39.26,2552.86,bengaluru,08-10-2018,NO
CUST-1123,Female,0,Yes,No,30.0,yes,No phone service,Fiber optic,Two year,Yes,Credit card,15.0,424.71,MUMBAI,03-09-2018,0
CUST-1097,Male,0,Yes,Yes,40.0,Yes,No,DSL,Month-to-month,No,Mailed check,93.0,4018.38,,13-07-2018,Yes
CUST-1714,FEMALE,1,No,No,46.0,yes,No,Fiber optic,month-to-month,no,Credit card,78.65,3640.76,MUMBAI,23-11-2021,Yes
CUST-1054,FEMALE,0,,No,41.0,Yes,Yes,No,Month-to-month,No,,28.21,1205.31,Bengaluru,18-04-2018,No
CUST-1009,Female,0,Yes,Yes,34.0,Yes,No,,One year,No, Electronic check,50.7,1618.1,Hyderabad,18-01-2018,NO
CUST-2090,Male,0,No,Yes,40.0,No,Yes,Fiber optic,,No,Mailed check,45.63,1711.06,Delhi,13-12-2023,yes
CUST-1677,Female,1,No,Yes,9.0,Yes,No,Fiber optic,One year,Yes,,72.91,586.14,Delhi,11-09-2021,0
CUST-1649,Male,1,No,No,5.0,No,,Fiber optic,,no,,82.75,440.25,Bengaluru,17-07-2021,No
CUST-1128,Male,nan,No,,48.0,Yes,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,84.78,4177.23,Mumbai,13-09-2018,No
CUST-1716,male,0,Yes,No,29.0,Yes,No,,One year,no,Credit card,15.0,407.5,bengaluru,27-11-2021,yes
CUST-2055,male,1,NO,Y,35.0,Yes,No phone service,,Month-to-month,Yes,Electronic check,47.38,1609.0,,04-10-2023,No
CUST-1734,Male,0,yes,Yes,6.0,No,No,No,Month-to-month,Yes,Mailed check,138.11,832.17,Chennai,02-01-2022,No
CUST-1409,,0,No,Y,51.0,Yes,Yes,dsl,One year,No,,62.47,3296.09,Mumbai,26-03-2020,0
CUST-1899,Female,0,Yes,Yes,56.0,Yes,No,fiber optic,,Yes,Electronic check,63.65,3749.04,,27-11-2022,No
CUST-1666,FEMALE,nan,No,No,46.0,No,No phone service,No,Month-to-month,No,Electronic check,53.81,2540.45,bengaluru,20-08-2021,Yes
CUST-1034,Female,nan,yes,No,68.0,no,Yes,DSL,Month-to-month,Yes, Electronic check,38.37,2603.77,Mumbai,09-03-2018,No
CUST-1463,Female,nan,Yes,Yes,32.0,Yes,Yes,No,One year,Yes,Electronic check,18.91,583.53,MUMBAI,11-07-2020,Yes
CUST-1618,Male,0,No,Y,5.0,No,No,DSL,,Yes, Electronic check,52.04,249.87,bengaluru,16-05-2021,NO
CUST-1619,Male,1,,No,25.0,No,No,No,Month-to-month,Yes,Electronic check,89.45,2160.5,Bengaluru,18-05-2021,No
CUST-1565,male,1,,No,55.0,Yes,,DSL,Month-to-month,no,Mailed check,125.32,6725.24,Mumbai,30-01-2021,No
